text,processed_text,target
boring,boring,negative
the kids are great,the kids are great,positive
haha she looks a little like you charlie,haha she looks a little like you charlie,positive
say hi to dan and katherine and zachy,say hi to dan and katherine and zachy,neutral
fancy,fancy,positive
hopped up out the bed put my swwwaaaaggg oooonnnn then got back in the bed it s raining,hopped up out the bed put my swwwaaaaggg oooonnnn then got back in the bed it s raining,neutral
just for a little while to get an impression of how,just for a little while to get an impression of how,neutral
mad,mad,negative
headache,headache,negative
i love camp fires i just wish the kids would try a bit harder to sing along,i love camp fires i just wish the kids would try a bit harder to sing along,neutral
they had a site then a blog now they have the worst of the year tell meh it s a fake,they had a site then a blog now they have the worst of the year tell meh it s a fake,negative
great,great,positive
user how much,user how much,neutral
boarding the uss enterprise warp speed ahead fb,boarding the uss enterprise warp speed ahead fb,neutral
it ain t cool,it ain t cool,negative
anyone want to buy me this anthropomorphic planter called domsai by matteo cibic only available till the st,anyone want to buy me this anthropomorphic planter called domsai by matteo cibic only available till the st,neutral
warning tweeting while ridding a bike is dangero waaaaaaa crash,warning tweeting while ridding a bike is dangero waaaaaaa crash,negative
had a great weekend and is in such a good mood,had a great weekend and is in such a good mood,positive
fun,fun,positive
funny,funny,positive
sonny you are a mystery man i m into it thoughh,sonny you are a mystery man i m into it thoughh,neutral
amazing,amazing,positive
miss,miss,negative
i love that song,i love that song,positive
but your not following me,but your not following me,negative
wish me luck,wish me luck,positive
wow hope,wow hope,positive
loud odd,loud odd,negative
awww i hate that one,awww i hate that one,negative
haha,haha,positive
apparently i am not getting drives to school in the morning anymore well my dad left so no school for me this morning watching twilight,apparently i am not getting drives to school in the morning anymore well my dad left so no school for me this morning watching twilight,neutral
strawberry is not availble in the,strawberry is not availble in the,negative
i am super hurt right now,i am super hurt right now,negative
angrrry,angrrry,negative
good morning baby yes i slept like a rock refreshed ready for anything how are you hugs you doesn t let go miss,good morning baby yes i slept like a rock refreshed ready for anything how are you hugs you doesn t let go miss,neutral
sittting in my seat watching the tyra show,sittting in my seat watching the tyra show,neutral
,,negative
live long and prosper fb,live long and prosper fb,positive
totally worth it,totally worth it,positive
re firmware heh just a coincidence i didn t do anything maybe the sw guys heard you,re firmware heh just a coincidence i didn t do anything maybe the sw guys heard you,neutral
i miss that thing,i miss that thing,negative
awwww poor biggie he puked on me in the car even though i had the air conditioning on full blast i think it was the heat he ok now,awwww poor biggie he puked on me in the car even though i had the air conditioning on full blast i think it was the heat he ok now,neutral
ugh my back is killing me,ugh my back is killing me,negative
w i was kidding,w i was kidding,neutral
fault,fault,negative
enjoying,enjoying,positive
aww nice,aww nice,positive
just found out that mad men season is delayed until august,just found out that mad men season is delayed until august,neutral
unfortunately,unfortunately,negative
bad,bad,negative
ryan baby iloveyopu,ryan baby iloveyopu,positive
happy mothers day i m so hungry and the resturants are all closed,happy mothers day i m so hungry and the resturants are all closed,neutral
worried,worried,negative
tired,tired,negative
good,good,positive
do it up,do it up,neutral
brought the sf fog to la,brought the sf fog to la,neutral
whining ab,whining ab,negative
wrong,wrong,negative
my cat has been missing for days i am freaking out,my cat has been missing for days i am freaking out,negative
watching on snl,watching on snl,neutral
twitter is useful in that it reminds people what they forgot to ask me about on a given day it is also excellent for inspiration,twitter is useful in that it reminds people what they forgot to ask me about on a given day it is also excellent for inspiration,negative
sorry about your sadness,sorry about your sadness,positive
well,well,negative
ummm i do not know courtney s date is hooking us up,ummm i do not know courtney s date is hooking us up,neutral
i don t know how to send it to you anna let me think for a bit and i will find some way to do it,i don t know how to send it to you anna let me think for a bit and i will find some way to do it,neutral
thanks,thanks,positive
i am absolutely craving a brownie with ice cream right now fedex some over,i am absolutely craving a brownie with ice cream right now fedex some over,neutral
i hope work goes good,i hope work goes good,positive
stuck,stuck,negative
sadly,sadly,negative
i blame you all got it good p she better be in good condition night,i blame you all got it good p she better be in good condition night,neutral
so palin got the new haircut,so palin got the new haircut,neutral
haha,haha,positive
chillin with the roomies can t wait for the zombie clwn cr its going to be weeks,chillin with the roomies can t wait for the zombie clwn cr its going to be weeks,neutral
,,negative
ve funnn,ve funnn,positive
brought back memories mentioning the being pushed into angels desk with full glass of beer not my fault desk f d,brought back memories mentioning the being pushed into angels desk with full glass of beer not my fault desk f d,neutral
missing,missing,negative
don t like,don t like,negative
whohoo,whohoo,positive
hey hey hey lol,hey hey hey lol,neutral
e penalty,e penalty,negative
she is all i can ever think about,she is all i can ever think about,neutral
incredibly well,incredibly well,positive
hope,hope,positive
not just me then,not just me then,neutral
sadifying,sadifying,negative
thank you for being such an awesome mother,thank you for being such an awesome mother,positive
everything is good except that neck shot and steve s back of the head shot,everything is good except that neck shot and steve s back of the head shot,neutral
i don t remember what i text to twitter to get a list of commands halp,i don t remember what i text to twitter to get a list of commands halp,neutral
feel hungry now cook for me pleaseyour food it s my energy to,feel hungry now cook for me pleaseyour food it s my energy to,neutral
great,great,positive
yep i m more of a facebook person,yep i m more of a facebook person,neutral
sorry,sorry,negative
yaaaay mish is following gab,yaaaay mish is following gab,neutral
morning peeps if you need to get at me you know where i am i ll be around,morning peeps if you need to get at me you know where i am i ll be around,neutral
very sweet of,very sweet of,positive
stressfree,stressfree,positive
thanks,thanks,positive
prettty goooooooood going to daaaaaancing in a mo and havnt studied much for maths,prettty goooooooood going to daaaaaancing in a mo and havnt studied much for maths,neutral
people ask a lot and plus i thought id contribute to a sykes to the trending topics,people ask a lot and plus i thought id contribute to a sykes to the trending topics,neutral
house work blues,house work blues,negative
enjoy,enjoy,positive
i have a hole in my tooth,i have a hole in my tooth,negative
i m afraid not much i just realized the true difficulty of this design i may cry soon,i m afraid not much i just realized the true difficulty of this design i may cry soon,negative
can not fall asleep,can not fall asleep,neutral
it s official liberty grand is my new fave reception venue will blog some shots tuesday,it s official liberty grand is my new fave reception venue will blog some shots tuesday,neutral
i m not in america i m not going anymore you phoned earlier,i m not in america i m not going anymore you phoned earlier,neutral
miss,miss,negative
the beginning of cater you always gets to me,the beginning of cater you always gets to me,neutral
yup it gets better again,yup it gets better again,positive
meee i have a penguin wallpaper on the backround on my phone computer ps ipod touch and on my twitter,meee i have a penguin wallpaper on the backround on my phone computer ps ipod touch and on my twitter,neutral
sorry,sorry,negative
he didn t come to school day,he didn t come to school day,neutral
,,positive
the test today was killer i didn t even manage to finish on time,the test today was killer i didn t even manage to finish on time,positive
hungover,hungover,negative
i don t know why but i can only find miss matched socks during winter i mean where do they all go,i don t know why but i can only find miss matched socks during winter i mean where do they all go,neutral
girls are confusing,girls are confusing,neutral
suffering,suffering,negative
and it s my birthday tomorrow everything worked fine in the end convinced her not invite people she didn t know,and it s my birthday tomorrow everything worked fine in the end convinced her not invite people she didn t know,neutral
i don t know what to wear,i don t know what to wear,neutral
speaking of fish our company fish just died rip julio,speaking of fish our company fish just died rip julio,negative
i can officially now survive the weekend,i can officially now survive the weekend,neutral
thanks,thanks,positive
i totally and completely agree,i totally and completely agree,neutral
in june the th a sat,in june the th a sat,neutral
annoying,annoying,negative
put my dog to sleep i love you abby rip,put my dog to sleep i love you abby rip,neutral
i sneezed on him,i sneezed on him,negative
been awake hours,been awake hours,neutral
haha same but its going to be awhile til it comes to sweden i think,haha same but its going to be awhile til it comes to sweden i think,neutral
yeah dropped the bike got caught below the not got a mark on it mind i m trying to avoid stairs lol,yeah dropped the bike got caught below the not got a mark on it mind i m trying to avoid stairs lol,neutral
screwing,screwing,negative
well i hope you feel better,well i hope you feel better,positive
poor pooch,poor pooch,negative
hope,hope,positive
setting business hours am pm rush jobs will still be considered but not the norm,setting business hours am pm rush jobs will still be considered but not the norm,neutral
you makin me,you makin me,neutral
i love my hair blowin in the wind,i love my hair blowin in the wind,positive
surprised,surprised,negative
such a shame he,such a shame he,negative
right,right,positive
beautiful and piece don t usually go together wish i could go,beautiful and piece don t usually go together wish i could go,neutral
my friend and i are totally having a kick off party for the occasion,my friend and i are totally having a kick off party for the occasion,positive
i dnt feel so good,i dnt feel so good,positive
just finished the exam i did ok i guess,just finished the exam i did ok i guess,neutral
fun,fun,positive
d happy,d happy,positive
eh you do not like retro tisk tisk what you been upto apart from waxing you are lol,eh you do not like retro tisk tisk what you been upto apart from waxing you are lol,neutral
so nice,so nice,positive
yes my don t go to bars with me,yes my don t go to bars with me,neutral
lost,lost,negative
i m insanely jealous,i m insanely jealous,negative
my children have promised me birthday brekkie in bed there s a problem with that in that there s bugger all food in the house,my children have promised me birthday brekkie in bed there s a problem with that in that there s bugger all food in the house,negative
up late last night oracle from to,up late last night oracle from to,neutral
glad,glad,positive
i m going to turn it off we tribbles don t need tracking devices,i m going to turn it off we tribbles don t need tracking devices,neutral
bought beer today,bought beer today,neutral
,,negative
say hi nikki pleaseeeeee,say hi nikki pleaseeeeee,neutral
good,good,positive
here dude we got here n a table readyyy fo us,here dude we got here n a table readyyy fo us,neutral
your mom actually,your mom actually,neutral
try being in az again brooke omg you can not even be outside for less than a minute before getting your neck burned,try being in az again brooke omg you can not even be outside for less than a minute before getting your neck burned,negative
feeling pretty energized,feeling pretty energized,positive
coolest,coolest,positive
bbq time again,bbq time again,neutral
ok ahhh last chance to go into school before chemistry exam,ok ahhh last chance to go into school before chemistry exam,neutral
you look amazing in them,you look amazing in them,positive
i can t wait till it s sunday a new episode of supernatural but then there are only episodes left now,i can t wait till it s sunday a new episode of supernatural but then there are only episodes left now,neutral
aww anyone see hollie steel on bgt tonight wharra shame,aww anyone see hollie steel on bgt tonight wharra shame,negative
you re welcome to have it if you like,you re welcome to have it if you like,positive
afraid,afraid,negative
pity,pity,negative
had a little romantic date with suzy in uptown,had a little romantic date with suzy in uptown,neutral
forgive,forgive,negative
oops,oops,negative
tired,tired,negative
went to wingstop without me,went to wingstop without me,neutral
goodmorning,goodmorning,positive
happy monday everyone loving the new arrangement in my family room,happy monday everyone loving the new arrangement in my family room,positive
should be fun,should be fun,positive
like the sound of a tweet,like the sound of a tweet,neutral
paris moro i have to pack ill wake up at yes dance lesson at,paris moro i have to pack ill wake up at yes dance lesson at,neutral
automated would have to know which you like youporn has this new recommendation feature,automated would have to know which you like youporn has this new recommendation feature,neutral
interesting me,interesting me,positive
looks scary,looks scary,negative
depressing,depressing,negative
so am i,so am i,neutral
sorry,sorry,negative
like almost above my sholders,like almost above my sholders,neutral
nope not really only a sweatshirt oh and these really really awesome doughnuts haha,nope not really only a sweatshirt oh and these really really awesome doughnuts haha,positive
sadly,sadly,negative
headache,headache,negative
wish her a good one assholes,wish her a good one assholes,negative
is hittin the ole dusty trail miss morgan,is hittin the ole dusty trail miss morgan,neutral
actually by the time i get there the train would have arrived,actually by the time i get there the train would have arrived,neutral
with aubrey at pearl,with aubrey at pearl,neutral
oops,oops,negative
never,never,negative
awesome,awesome,positive
justin is too funny,justin is too funny,positive
coffee is the lifeline to all things good,coffee is the lifeline to all things good,positive
sore,sore,negative
i always forget you are on here,i always forget you are on here,negative
i failed miserably,i failed miserably,negative
can t fall asleep,can t fall asleep,negative
i really really love,i really really love,positive
happy,happy,positive
miss,miss,negative
no but apparently a distant relative died in east africa leaving me as his only heir once i send k i should have k,no but apparently a distant relative died in east africa leaving me as his only heir once i send k i should have k,neutral
suffering,suffering,negative
liked,liked,positive
golden girls marathon about to end lofnotc,golden girls marathon about to end lofnotc,neutral
happy mothers day,happy mothers day,positive
a that s incredibly sweeeet,a that s incredibly sweeeet,positive
that s depressing,that s depressing,negative
is going to have a relaxing hot bath goodnight for now then twits do not worry andy i love you more than twitter hehe,is going to have a relaxing hot bath goodnight for now then twits do not worry andy i love you more than twitter hehe,positive
rest is important,rest is important,positive
ruined,ruined,negative
sounds awesome,sounds awesome,positive
it involves posting your thoughts and reading others you got a new number by the way had no txts back from you,it involves posting your thoughts and reading others you got a new number by the way had no txts back from you,neutral
that totally bummed me out,that totally bummed me out,negative
did not get my hopes up,did not get my hopes up,negative
photo session bonding session happy me,photo session bonding session happy me,positive
had an awesome weekend and an awesome turn out to my rummage sales on friday and saturday,had an awesome weekend and an awesome turn out to my rummage sales on friday and saturday,positive
nope just playing with one i think i m going to wait for the next iphone,nope just playing with one i think i m going to wait for the next iphone,neutral
kaotic ones,kaotic ones,negative
my car is almost definately going to be written off the garage rang and said the work will cost k and its up to the insurance co,my car is almost definately going to be written off the garage rang and said the work will cost k and its up to the insurance co,neutral
better,better,positive
tired,tired,negative
love,love,positive
,,positive
love,love,positive
depressing of course kidding i don t like the thought of my parents dying,depressing of course kidding i don t like the thought of my parents dying,neutral
in faa thaa night movie night,in faa thaa night movie night,neutral
condolences,condolences,positive
excited,excited,positive
figuring out this new alarm daddy gave me sooo loud i think i blew out my ear drum,figuring out this new alarm daddy gave me sooo loud i think i blew out my ear drum,neutral
wife s tummy hurts just great,wife s tummy hurts just great,negative
bad,bad,negative
yeahh uhhh not so sure if i m feeling the new jonas songs just yet,yeahh uhhh not so sure if i m feeling the new jonas songs just yet,neutral
that is because i am getting a new phone since my other phone do not work at all,that is because i am getting a new phone since my other phone do not work at all,neutral
ahhh so jealous have a nice time and i ll see you when you get back x,ahhh so jealous have a nice time and i ll see you when you get back x,neutral
y good,y good,positive
i actually got a bit of a tan today haha sadly will be working all weekend won t get a chance to enjoy the glorious sunrays boo,i actually got a bit of a tan today haha sadly will be working all weekend won t get a chance to enjoy the glorious sunrays boo,neutral
not fucckinggg cool,not fucckinggg cool,negative
love,love,positive
sats what the its just around the corner,sats what the its just around the corner,neutral
bad times,bad times,negative
is a no show for lunch eating solo at noodles,is a no show for lunch eating solo at noodles,negative
ll i languish reading the news stories again,ll i languish reading the news stories again,negative
sad face,sad face,negative
more days till happiness,more days till happiness,positive
enjoying my new car,enjoying my new car,positive
d like to,d like to,positive
lunch is no fun,lunch is no fun,negative
she interviewed us on books i was going to say something but she was all i have something to say,she interviewed us on books i was going to say something but she was all i have something to say,neutral
loves john mayer s updates and modeling in the hot sun and being sweaty jk but seriously,loves john mayer s updates and modeling in the hot sun and being sweaty jk but seriously,positive
ipod touch worth the money because i m thinking of buying one my ipod is dead since this morning,ipod touch worth the money because i m thinking of buying one my ipod is dead since this morning,neutral
happy almost mother s day,happy almost mother s day,positive
irked,irked,negative
poor little girl,poor little girl,negative
it s supposed to be even hotter today than yesterday wearing shorts to work,it s supposed to be even hotter today than yesterday wearing shorts to work,neutral
i m sa,i m sa,negative
fukin funny,fukin funny,positive
celebrated by spilling half my soup hello calorie lunch can it be the weekend now please,celebrated by spilling half my soup hello calorie lunch can it be the weekend now please,neutral
s bad,s bad,negative
laughed,laughed,positive
happy mom s day to you two,happy mom s day to you two,positive
shocked,shocked,negative
you are not supposed to,you are not supposed to,neutral
gooooodnight i fully gave up on my english pride and prejudice love the movie hate the book,gooooodnight i fully gave up on my english pride and prejudice love the movie hate the book,neutral
up was awesome everyone should go see it but the stupid theatre didn t show the pixar short film,up was awesome everyone should go see it but the stupid theatre didn t show the pixar short film,neutral
and egg whites with grain toast yup,and egg whites with grain toast yup,neutral
time to turn the phone off and get a full nights sleep,time to turn the phone off and get a full nights sleep,neutral
greatest,greatest,positive
i am glad,i am glad,positive
awww i guess that s both good and bad moving is not an option i guess mhm so are you hehe we have same time,awww i guess that s both good and bad moving is not an option i guess mhm so are you hehe we have same time,neutral
enjoying my pathetic tiny music collection while rearranging my room still a little tired from shortening the grass and that one frog,enjoying my pathetic tiny music collection while rearranging my room still a little tired from shortening the grass and that one frog,neutral
love,love,positive
no i am a people pleaser,no i am a people pleaser,neutral
good eatin,good eatin,positive
lots of good things,lots of good things,positive
hug,hug,positive
wish,wish,positive
it s ace,it s ace,positive
i miss you,i miss you,negative
sexy,sexy,positive
yay new computer to fiddle about with,yay new computer to fiddle about with,neutral
will be sicker,will be sicker,negative
hahha i don t do drugs though,hahha i don t do drugs though,neutral
happy mother s day to all your mom s,happy mother s day to all your mom s,positive
manchester was wayyyyy to busy so warm today also,manchester was wayyyyy to busy so warm today also,negative
i m not in the mood to feel neglected,i m not in the mood to feel neglected,negative
my baby man is years old a week today he s growing up too fast,my baby man is years old a week today he s growing up too fast,neutral
oh that was said perez,oh that was said perez,neutral
any windows users out there have any tips on how to make the default install not take up gb i knew it would be big but srsly,any windows users out there have any tips on how to make the default install not take up gb i knew it would be big but srsly,neutral
i know i think i m like dieing,i know i think i m like dieing,negative
you need to remember the data the customer has entered on previous pages when they use the back button so so many don t do this,you need to remember the data the customer has entered on previous pages when they use the back button so so many don t do this,neutral
back from sql finals tomorrow new video today,back from sql finals tomorrow new video today,neutral
beautiful a,beautiful a,positive
justin timberlake how you can easily become a reiki master at,justin timberlake how you can easily become a reiki master at,neutral
,,negative
sick,sick,negative
,,negative
make one with something about the charger,make one with something about the charger,neutral
workout stunk no headphones,workout stunk no headphones,neutral
funny,funny,positive
does anyone know how to move google chrome passwords to firefox,does anyone know how to move google chrome passwords to firefox,neutral
just had lunch at jason s deli then stepped in dog poo,just had lunch at jason s deli then stepped in dog poo,neutral
probably why not,probably why not,neutral
i hope that it doesn t suck,i hope that it doesn t suck,positive
nice,nice,positive
when we were poor and lived in germany it was our favourite cheap saturday now we have one min away,when we were poor and lived in germany it was our favourite cheap saturday now we have one min away,positive
great place,great place,positive
lammmeeee,lammmeeee,negative
that is not a golf buggy lol it s a australia zoo buggy the staff use it to get around and give certain patrons a life,that is not a golf buggy lol it s a australia zoo buggy the staff use it to get around and give certain patrons a life,neutral
pm on a saturday you know what that means bedtime,pm on a saturday you know what that means bedtime,neutral
a bit disapointed in ciber and sabip,a bit disapointed in ciber and sabip,negative
all my koreans buisnesses failing,all my koreans buisnesses failing,negative
i m glad,i m glad,positive
,,positive
i am so lucky to have so many great people in my life i am blessed,i am so lucky to have so many great people in my life i am blessed,positive
miss him so baadly,miss him so baadly,negative
is getting the kids ready for school before deciding the workout du jour,is getting the kids ready for school before deciding the workout du jour,neutral
worried,worried,negative
i m not sick but a little tierd a bit to much to drink but i had fun,i m not sick but a little tierd a bit to much to drink but i had fun,neutral
happy to hear that you are feeling fine,happy to hear that you are feeling fine,positive
there were way more than two ten hours of takes it out of you,there were way more than two ten hours of takes it out of you,neutral
ugh hangover sign that i m getting old,ugh hangover sign that i m getting old,negative
rockstars,rockstars,positive
hey cool,hey cool,neutral
goodnight world,goodnight world,positive
happy,happy,positive
hating,hating,negative
american trade journalists ask prs how are you almost of the time uk journalists erm not so much how come,american trade journalists ask prs how are you almost of the time uk journalists erm not so much how come,neutral
a massive,a massive,positive
what do you think ill be doing tonight,what do you think ill be doing tonight,neutral
sick of having constant bad dreams grr,sick of having constant bad dreams grr,negative
i need people to shoot so i can work on my new post processing technique but i need to show off the pp before people will want to,i need people to shoot so i can work on my new post processing technique but i need to show off the pp before people will want to,neutral
nice,nice,positive
stupid,stupid,negative
haha it s great but i slept horribly last night,haha it s great but i slept horribly last night,neutral
if mom gets paid,if mom gets paid,neutral
hydro drive abandoned after three miles,hydro drive abandoned after three miles,neutral
what to do this weekend what to do don t think i ll be making it to michigan for the wonder years,what to do this weekend what to do don t think i ll be making it to michigan for the wonder years,neutral
it s my birthday today running the mile tomorrow ughh but then choir concert,it s my birthday today running the mile tomorrow ughh but then choir concert,neutral
directing a theatre play,directing a theatre play,neutral
temporary address not working either they must have done something to the domain,temporary address not working either they must have done something to the domain,neutral
was amazin,was amazin,positive
pisses,pisses,negative
flew home from london to ni to catch up with the family and caption a show everyone went to bed early and left me,flew home from london to ni to catch up with the family and caption a show everyone went to bed early and left me,neutral
big sis moved out day its gna b weird without her x,big sis moved out day its gna b weird without her x,negative
specifically like these also i adore this outfit yum,specifically like these also i adore this outfit yum,neutral
that is so lovely,that is so lovely,positive
hall no i was gutted when he wasn t lmao i think i m obsessed with him bahaha,hall no i was gutted when he wasn t lmao i think i m obsessed with him bahaha,positive
funeral,funeral,negative
i should be djing my prom i d do it for free there prob going to have a dj who s stuck in the s boooooo,i should be djing my prom i d do it for free there prob going to have a dj who s stuck in the s boooooo,neutral
hoping the rain stops,hoping the rain stops,positive
you too rus,you too rus,neutral
thought you should mention that you don t need to enable growl in tweetie to make your plugin work and to avoid duped notifications,thought you should mention that you don t need to enable growl in tweetie to make your plugin work and to avoid duped notifications,neutral
this is getting on my nerves,this is getting on my nerves,negative
am i don t want to wake up shoo roommate shoo,am i don t want to wake up shoo roommate shoo,neutral
good,good,positive
hope,hope,positive
i got it,i got it,neutral
what that s a sin,what that s a sin,negative
ridiculously,ridiculously,negative
love,love,positive
girl rain is my song forrealll,girl rain is my song forrealll,neutral
do not worry,do not worry,positive
checked the bank account this mornin got a lil sad then decided i would imagine a on the end just to make me smile whateverworks,checked the bank account this mornin got a lil sad then decided i would imagine a on the end just to make me smile whateverworks,neutral
lovely,lovely,positive
my pleasure and sorry,my pleasure and sorry,neutral
mess,mess,negative
it s so hard to get up,it s so hard to get up,negative
finally seventeen,finally seventeen,neutral
it s going to suck being the only sober one tonight,it s going to suck being the only sober one tonight,negative
i feel special now,i feel special now,positive
that is on fox is not it never watched it,that is on fox is not it never watched it,neutral
pretty sad,pretty sad,negative
it s confusing,it s confusing,negative
loved,loved,positive
exciteeeddd,exciteeeddd,positive
nobody ever s makes me sad,nobody ever s makes me sad,neutral
happy mayday,happy mayday,positive
hope am,hope am,positive
thanks,thanks,positive
it s my evening,it s my evening,neutral
how are ya honey what happend to account,how are ya honey what happend to account,neutral
eyes red,eyes red,negative
baby just left going to get ready again and i m leavin chilis full,baby just left going to get ready again and i m leavin chilis full,neutral
missing,missing,negative
aww me too we miss you,aww me too we miss you,positive
full time in tonight s game ashington whitley bay,full time in tonight s game ashington whitley bay,neutral
i love this show,i love this show,positive
tired,tired,negative
life sucks,life sucks,negative
i wish,i wish,positive
watching justin timberlake on snl,watching justin timberlake on snl,neutral
awesome,awesome,positive
that is it rub it in that you are seeing morrissey il just go and cry in the corner,that is it rub it in that you are seeing morrissey il just go and cry in the corner,negative
placed a bet on a sure thing and lost,placed a bet on a sure thing and lost,negative
if you are a cute guy me i ll do the same,if you are a cute guy me i ll do the same,neutral
yay for nice weather boo for cici no,yay for nice weather boo for cici no,negative
oh too bad i hope it gets better i ve been having sleep issues lately too,oh too bad i hope it gets better i ve been having sleep issues lately too,neutral
anytime that s what i am here for giggles,anytime that s what i am here for giggles,positive
wants to smoke a cig but doesn t have a lighter,wants to smoke a cig but doesn t have a lighter,neutral
really bad day,really bad day,negative
i want to go to universal too,i want to go to universal too,neutral
thanks we want to continue to improve our process for the benefit of customers things like this just take time,thanks we want to continue to improve our process for the benefit of customers things like this just take time,neutral
heart breaking,heart breaking,negative
she said no not to nite x,she said no not to nite x,neutral
i m a laid back person for the most part vinny is the opposite guess we compliment each other it will all work out how r you,i m a laid back person for the most part vinny is the opposite guess we compliment each other it will all work out how r you,neutral
oh no,oh no,negative
nooooooo,nooooooo,negative
you re so cute,you re so cute,positive
snitchsneeker photos were cool dang what s up with all the comments about your chest hair that s just creepy,snitchsneeker photos were cool dang what s up with all the comments about your chest hair that s just creepy,neutral
long friday,long friday,negative
loves summer and don t forget people tomorrow is mother s day,loves summer and don t forget people tomorrow is mother s day,positive
amadeus is the best mozart movie i got kicked out of high school chorus missed a trip to hawaii,amadeus is the best mozart movie i got kicked out of high school chorus missed a trip to hawaii,neutral
thank you for reading,thank you for reading,positive
it hurts sooo bad right now,it hurts sooo bad right now,negative
goodnight,goodnight,neutral
you can t take this feeling away from me,you can t take this feeling away from me,positive
had a nice time,had a nice time,positive
welcome to my network buddies,welcome to my network buddies,positive
go to bed mister you need your beauty sleep,go to bed mister you need your beauty sleep,neutral
gutted,gutted,negative
hey you,hey you,neutral
yay,yay,positive
happy,happy,positive
get up you are not old what did you do,get up you are not old what did you do,neutral
smiling sm,smiling sm,positive
hard,hard,negative
thts kind of young me boo,thts kind of young me boo,neutral
is the way to be,is the way to be,positive
back here i was busy xd wirting stars loves almos pages xd and listenint afh and tv,back here i was busy xd wirting stars loves almos pages xd and listenint afh and tv,neutral
t after a month it wouldn t hurt na,t after a month it wouldn t hurt na,negative
not too concerned about apps batt life is important,not too concerned about apps batt life is important,neutral
happy,happy,positive
oops forgot to shave my legs byebye to my favorite cousin bklyn two nights in a row we go hard,oops forgot to shave my legs byebye to my favorite cousin bklyn two nights in a row we go hard,neutral
i think i may have found my next apartment just one downfall,i think i may have found my next apartment just one downfall,neutral
i want to go to dbsk oppa s mirotic concert in thailand i really want to go so muchhhhh burst into tears,i want to go to dbsk oppa s mirotic concert in thailand i really want to go so muchhhhh burst into tears,neutral
hurts my stomach,hurts my stomach,negative
another good day at work,another good day at work,positive
what up,what up,neutral
shouldn t sit weirdly at the pc i know i am going to hit the deck once i get up,shouldn t sit weirdly at the pc i know i am going to hit the deck once i get up,negative
wants to go to sleep with the sound of the rain,wants to go to sleep with the sound of the rain,neutral
i m writing more fanfic,i m writing more fanfic,neutral
i am about to good man with bad habits,i am about to good man with bad habits,neutral
disliking,disliking,negative
n incredible phenomenal amazingly talented singer,n incredible phenomenal amazingly talented singer,positive
the mosquito chased me inside,the mosquito chased me inside,negative
i really need to go and start some more revision biology or chemistry today me thinks,i really need to go and start some more revision biology or chemistry today me thinks,neutral
you are disappointing me,you are disappointing me,negative
best,best,positive
missed,missed,negative
fun,fun,positive
boingo connected without fuss this time but it s slower n snail piss,boingo connected without fuss this time but it s slower n snail piss,neutral
good way to kick off this month,good way to kick off this month,positive
what i ve been waiting for,what i ve been waiting for,positive
should have started working on this lecture much earlier using tag clouds from google news to explain basics of content analysis,should have started working on this lecture much earlier using tag clouds from google news to explain basics of content analysis,neutral
i know lame,i know lame,negative
better,better,positive
hmm so late well its early for me ha,hmm so late well its early for me ha,neutral
ck too far,ck too far,negative
just found two very moldy and squishy reasons why non cracker based foods aren t allowed in the play room when mom s away,just found two very moldy and squishy reasons why non cracker based foods aren t allowed in the play room when mom s away,neutral
i m so tired,i m so tired,negative
exhaaaausted,exhaaaausted,negative
the lost cost is a total plus nutella is like peanut butter mixed with chocolatey goodness yumm,the lost cost is a total plus nutella is like peanut butter mixed with chocolatey goodness yumm,neutral
i ve always been a people person just hid behind bad self confidence for long you can do anything,i ve always been a people person just hid behind bad self confidence for long you can do anything,neutral
you re always welcome,you re always welcome,positive
i saw the game not a huge cavs fan lol they pay refs but yao s out the rest of playoffs so is cruising to the wcf,i saw the game not a huge cavs fan lol they pay refs but yao s out the rest of playoffs so is cruising to the wcf,neutral
nice,nice,positive
so no problems here,so no problems here,positive
thanks,thanks,positive
amazing,amazing,positive
i absolutely love it,i absolutely love it,positive
looks like you have a lot of fun,looks like you have a lot of fun,positive
finally get my hands on my laptop just ate the biggest burrito de asada ever and now i am going to get ready for the,finally get my hands on my laptop just ate the biggest burrito de asada ever and now i am going to get ready for the,neutral
just got home yay hi guys,just got home yay hi guys,neutral
i love alexander william gaskarth,i love alexander william gaskarth,positive
happy,happy,positive
i wish you where going to be in the saga,i wish you where going to be in the saga,neutral
cried,cried,negative
so differe,so differe,positive
lovely car,lovely car,positive
effed,effed,negative
shame,shame,negative
i hate my life big time its sooo poop gode i ould cry,i hate my life big time its sooo poop gode i ould cry,neutral
chill,chill,positive
good,good,positive
enthusiasm,enthusiasm,positive
that was a fun show grabbing a bite to eat now,that was a fun show grabbing a bite to eat now,positive
miss,miss,negative
bye tekzilla then revision,bye tekzilla then revision,neutral
just kidding its standing room only,just kidding its standing room only,neutral
i missed giving away a ttc code,i missed giving away a ttc code,negative
good luck,good luck,positive
careful the cops do not mistake you and your kids for criminals i hear there is some indiscrimate shooting going on,careful the cops do not mistake you and your kids for criminals i hear there is some indiscrimate shooting going on,neutral
i think you are such an awesome actor i love every movie you are in and i love the office,i think you are such an awesome actor i love every movie you are in and i love the office,positive
sorry too funny,sorry too funny,neutral
that just doesn t sound appetizing,that just doesn t sound appetizing,negative
oh thank you thank you,oh thank you thank you,positive
